STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
071560,99999, 20160413,   55.2,24,   44.9,24, 1008.5,24,  999.2,24,  11.5,24,   3.7,24,   8.0, 999.9,   63.5 ,  49.1 , 0.12G,999.9, 010000,
071560,99999, 20160414,   54.2,24,   45.0,24, 1011.1,24, 1001.8,24,  12.2,24,   4.4,24,   8.0, 999.9,   63.7 ,  47.8 , 0.03G,999.9, 010000,
071560,99999, 20160415,   54.7,24,   45.6,24, 1005.6,24,  996.3,24,  12.4,24,   7.3,24,  12.0, 999.9,   61.3 ,  48.9 , 0.11G,999.9, 000000,
071560,99999, 20160416,   52.7,24,   40.6,24, 1004.7,24,  995.3,24,  12.4,24,   6.8,24,   9.9, 999.9,   60.8 ,  46.4*, 0.14G,999.9, 000000,
071560,99999, 20160417,   46.0,24,   33.4,24, 1015.0,24, 1005.5,24,  12.4,24,   5.3,24,   8.0, 999.9,   54.3 ,  41.7 , 0.00G,999.9, 010000,
071560,99999, 20160418,   49.6,24,   29.9,24, 1024.1,24, 1014.5,24,  12.4,24,   4.1,24,   7.0, 999.9,   59.0 ,  39.4 , 0.00G,999.9, 000000,
071560,99999, 20160419,   53.4,24,   37.1,24, 1027.1,24, 1017.6,24,  12.3,24,   4.9,24,   8.9, 999.9,   62.2 ,  43.9 , 0.00G,999.9, 000000,
071560,99999, 20160420,   57.2,24,   36.7,24, 1024.7,24, 1015.3,24,  12.2,24,   8.7,24,  11.1, 999.9,   68.5 ,  45.1 , 0.00G,999.9, 000000,
071560,99999, 20160421,   61.4,24,   41.9,24, 1019.7,24, 1010.4,24,  12.4,24,   3.9,24,   5.1, 999.9,   71.6 ,  52.2 , 0.00G,999.9, 000000,
071560,99999, 20160422,   58.6,24,   45.6,24, 1016.9,24, 1007.6,24,  10.0,24,   3.7,24,   7.0, 999.9,   67.5 ,  54.1*, 0.00G,999.9, 010000,
071560,99999, 20160423,   48.9,24,   36.6,24, 1016.2,24, 1006.7,24,  10.8,24,   9.0,24,  12.0, 999.9,   59.2 ,  42.8*, 0.02G,999.9, 010000,
071560,99999, 20160424,   43.6,24,   32.4,24, 1019.4,24, 1009.8,24,  12.4,24,   6.2,24,  11.1, 999.9,   49.3 ,  39.2 , 0.00G,999.9, 010000,
071560,99999, 20160425,   46.3,24,   36.6,24, 1013.4,24, 1003.9,24,  12.3,24,   7.4,24,  12.0, 999.9,   53.4 ,  39.6 , 0.08G,999.9, 010000,
071560,99999, 20160426,   43.2,24,   34.1,24, 1008.4,24,  998.9,24,  11.9,24,   5.1,24,  12.0, 999.9,   48.7 ,  39.4 , 0.13G,999.9, 010000,
071560,99999, 20160427,   43.2,24,   32.8,24, 1013.2,24, 1003.6,24,  12.3,24,   5.7,24,   9.9, 999.9,   53.1 ,  36.5 , 0.04G,999.9, 000000,
071560,99999, 20160428,   46.6,24,   31.0,24, 1016.4,24, 1006.8,24,  12.4,24,   4.3,24,   8.0, 999.9,   55.4 ,  36.1 , 0.09G,999.9, 000000,
071560,99999, 20160429,   49.7,24,   38.2,24, 1015.8,24, 1006.3,24,  12.4,24,   6.5,24,  11.1, 999.9,   59.2 ,  41.4 , 0.00G,999.9, 010000,
